index,account_url,account,headcount
"38389","www.twiz.io","Twiz",
"85019","virtustant.com","virtustant.com","28"
"87631","http://www.3boxlabs.com","3Box Labs",
"124531","https://www.makershub.ai","MakersHub",
"59007","https://www.accenture.com/br-pt","Concrete Solutions",
"146590","6clicks.com","6clicks",
"160696","climatepower.us","Climate Power","67"
"90694","www.hotei-japanese-prints.com","HOTEI LIMITED",
"145288","www.spadac.com","S.P.A.D.A.C.",
"144410","www.bizfinity.com","Bizfinity, Inc.",
"56010","www.havocllc.com","Havona",
"117865","www.synapsense.com","SynapSense, a Panduit Company",
"117991","https://www.abacus.com","Emburse Abacus",
"60283","https://2trde.com/","SLL Automotive Group GmbH",
"63768","a2bio.com","A2 Biotherapeutics",
"14637","www.dssa-egypt.org","Dental Students'​ Scientific Association of Egypt (DSSA-Egypt)",
"71285","0x.org","0x Labs",
"9090","www.tazahtech.com","Tazah Technologies",
"18752","https://www.aios.cz","Aios s.r.o.",
"86672","www.ncic.com","NCIC",
"74202","www.fluenceenergy.com","Nispera",
"9146","ey.com","Ernst & Young",
"100313","https://www.ab-inbev.com/","Z-Tech",
"77134","www.operatestudio.com","Co-Operate Ltd.",
"72699","www.phreesia.com","Phreesia","106"
"1329","https://www.dlocal.com","dLocal","975"
"1343","http://www.angel.co","AL Talent, Inc","519"
"1440","http://www.90seconds.com","90 Seconds","146"
"1986","https://www.alcority.com","Alcority","135"
"2059","centricconsulting.com","Centric Consulting","1242"
"2439","http://www.cyrusone.com/","CyrusOne","648"
"2519","http://www.luxurypresence.com","Luxury Presence","629"
"2855","pharoscion.com","Pharoscion Global","34"
"2892","https://www.trafilea.com","Trafilea Group","312"
"3080","www.convoso.com","Convoso","207"
"3829","recargapay.com","RecargaPay","657"
"3849","https://www.legl.com","Legl","66"
"3913","http://able.co/","Able","202"
"4181","smartmessage.com","SmartMessage","130"
"4244","www.fleetcomplete.com","Fleet Complete","425"
"6590","incubit.com","Incubit","92"
"6644","wizehire.com","WizeHire","136"
"6868","http://www.vortexcompanies.com/","Vortex Companies - Trenchless Infrastructure Rehabilitation Solutions","167"
"6995","exedconsulting.com","Exed Consulting","269"
"7095","http://www.involves.com","Involves","252"
"7549","yptc.com","Your Part-Time Controller","592"
"8034","www.absolute.com","Absolute Software","961"
"8050","https://www.loopreturns.com","Loop Returns","287"
"8095","prishusoft.com","prishusoft","31"
"8964","http://www.stayntouch.com","Stayntouch","107"
"9271","pstaffing.com","Pstaffing","210"
"11246","westinghouse.com","Westinghouse Electric","192"
"11370","https://www.gorillalogic.com/","Gorilla Logic","554"
"11498","darsel.tech","Darsel","12"
"11571","cased.com","Cased","11"
"12119","http://www.bitfinex.com","Bitfinex","283"
"12341","https://www.hudsonrpo.com","Hudson RPO","508"
"13047","https://www.evolution.com/careers","Evolution","30"
"13427","http://mastery.net","Mastery Logistics Systems","511"
"14184","http://www.socure.com","Socure","429"
"15081","https://www.trykeep.com","trykeep.com","79"
"15719","http://www.accel.com","Accel","1117"
"16061","https://www.treasuryprime.com","Treasury Prime","98"
"16111","http://www.adesso.com.tr","adesso Turkey","540"
"45001","www.4screen.com","4Screen",
"17509","inxile.net","inXile Entertainment, Inc.","119"
"17554","vumc.org","Vanderbilt University Medical Center","61"
"17847","https://www.bywinona.com","bywinona.com","28"
"18318","supportkind.org","Kind","539"
"19062","https://www.metals-hub.com","Metalshub","67"
"19152","2go.com","Invoice2go","23"
"19258","lyonshr.com","Lyons HR","163"
"19598","http://www.phillips.com","Phillips","1184"
"19677","nxscale.com","Nxscale","26"
"20121","zingtree.com","Zingtree Inc.","50"
"21001","http://www.multiplymii.com","VAF","85"
"21971","www.kinaxis.com","Kinaxis","1965"
"22370","netsach.co.in","NETSACH GLOBAL","6"
"113523","lt.ey.com","lt.ey.com",
"253915","abc.com","American Broadcasting",
"23110","https://www.joinparadigm.com","Paradigm","88"
"23183","www.experian.com","Experian Information Solutions, Inc","925"
"255350","accountingsuite.com","accountingsuite.com",
"258106","https://www.64xbio.com/","64-X, Inc",
"23870","taskade.com","Taskade","19"
"134754","ftx.exchange","FTX US",
"12703","www.3ds.com","Dassault Systèmes",
"24803","shortpoint.com","ShortPoint","51"
"25099","https://www.revnue.com","Revnue","103"
"25680","openenglish.com","Open English","96"
"26042","http://www.booksy.com","Booksy","581"
"26626","https://www.prima.it","Prima Assicurazioni","1160"
"26679","nextgeneration.io","Next Generation Platform","10"
"26856","thestudio.com","The/Studio","112"
"125207","http://www.2020spaces.com","BUSINESS SERVICES PRO 2020 INC",
"27821","http://www.clientengagementacademy.com","Client Engagement Academy","18"
"28020","trilogy.com","Trilogy","892"
"28419","verifytoday.com","VERIFY TODAY","21"
"255223","accountingsuite.com","accountingsuite.com",
"29396","abc.com","ABC","2112"
"28722","engtal.com","Engtal","46"
"28769","http://www.rebeldot.com","RebelDot","179"
"28928","https://www.yousign.com","Yousign","212"
"29005","www.venasolutions.com","Vena Solutions","700"
"42036","www.cityscoot.eu","Cityscoot",
"29544","http://www.ohmconnect.com","OhmConnect","99"
"29575","https://www.hubs.li","Capchase","143"
"29795","destinationoutpost.co","Outpost","79"
"29805","www.introhive.com","Introhive","214"
"29812","hyper.online","hyper.online","9"
"30640","http://www.washmen.com","Washmen","152"
"30975","www.peoplefluent.com","PeopleFluent","369"
"31085","mentorcliq.com","mentorcliQ","128"
"31263","https://www.gofmx.com","FMX","146"
"31408","https://www.bynd.com/","Beyond","465"
"31591","fhblackinc.com","F. H. Black & Company Incorporated","35"
"31934","https://mrsool.co","MRSOOL | مرسول","1750"
"32207","www.flywire.com","Flywire","1104"
"28785","be.ey.com","Ernst & Young Belgium",
"32442","https://www.animahealth.com","Anima","53"
"118791","www.sociedadbilbaina.com","Ervo Sociedad Anónima",
"33355","coherehealth.com","Cohere Health Technologies","592"
"33583","doxim.com","Doxim","597"
"34290","https://www.pennylane.com/fr/","Pennylane","431"
"34567","http://www.appfire.com/","Appfire","692"
"35298","coresite.com","CoreSite","543"
"35342","www.sinqia.com.br","Sinqia","1713"
"35352","http://www.paradox.ai","Paradox","647"
"35879","https://drips.com/","Drips","134"
"35898","https://www.jooble.org","Jooble","626"
"36439","www.joko.com","Joko","95"
"102516","163.com","test2h1",
"37400","http://www.bitsight.com","BitSight","783"
"37406","http://www.locusrobotics.com","Locus Robotics","461"
"38384","https://www.abridge.com","Abridge","79"
"39156","https://www.64xbio.com","64x Bio","22"
"39314","https://www.minutebox.com","MinuteBox","34"
"50842","www.cagebio.com","CAGE Bio Inc.",
"42941","www.pa-fze.com","BRAINXPAND - FZE",
"41190","www.karmaplatform.com","Platform PR",
"91497","www.closefactor.com","CloseFactor",
"135096","www.miramix.com","Miramix",
"135496","www.withotis.com","Otis",
"116068","http://www.7thsense.one","7thSense",
"145218","www.ravabe.com","HOSTELERIA RAVABE SL",
"147129","accelya.com","Accelya Kale Solutions Limited",
"110563","www.iamnotdoneyet.com","Not Done Yet",
"42193","http://www.boldrimpact.com","Boldr","822"
"43871","https://www.orbem.ai","Orbem","72"
"255654","accountingsuite.com","accountingsuite.com",
"112414","www.guano.ag","DocCheck Guano AG",
"235047","abo-wind.com","ABO Wind AG",
"46845","https://group.accor.com/","Novotel Inc",
"46822","https://www.lrqa.com/en","LRQA","1967"
"48401","https://globalkinetic.com/","Global Kinetic","83"
"103257","163.com","tancheng lee",
"48537","http://www.kiwigrid.com","Kiwigrid","120"
"48586","http://www.acceleration.biz","acceleration","69"
"48663","http://www.fasset.io","Fasset","94"
"48864","https://getnuvo.com/","NUVO","25"
"48916","https://www.join-jump.com","Jump","73"
"49663","https://www.idealsvdr.com","iDeals","423"
"49735","https://www.echo-analytics.io","Echo Analytics","70"
"49749","nsrltd.com","nsrltd.com","1577"
"50073","www.adistec.com","Adistec","512"
"50091","http://www.acino.swiss","Acino","1914"
"50378","http://www.akronos-tech.it","Akronos Technologies","177"
"51397","www.salary.com","Salary.com","983"
"54095","www.daxko.com","Daxko","839"
"54226","https://indsafri.com/","Indsafri","53"
"55747","https://ikas.com/","Ikas","213"
"222175","http://www.3dsystems.com","Z INC.",
"56085","http://www.trmlabs.com","TRM Labs","236"
"56626","https://www.savanta.com","Savanta","535"
"146514","http://www.4qlsolution.com","4QL Solutions",
"236926","access-technology.de","access-technology.de",
"57116","www.entefy.com","Entefy","33"
"57197","http://www.surglogs.com","Surglogs","58"
"57637","https://www.jaywaytravel.com","JayWay Travel","56"
"146866","abbott.com","Abbott",
"58456","www.planalytics.com","Planalytics","67"
"59101","http://www.connectis-latam.com","Connectis","817"
"146144","15gifts.com","15gifts",
"59286","https://www.altenar.com/","Altenar Malta","223"
"63080","http://www.flexential.com","Flexential","800"
"60621","https://www.schring.com","Schring Consulting LLC","6"
"60923","http://www.avasotech.com","AVASO Technology Solutions","867"
"61739","www.civicplus.com","CivicPlus","806"
"62065","o-s.de","operational services GmbH & Co. KG","493"
"62517","www.ownr.co","Ownr","72"
"62530","https://www.injectivelabs.org","Injective Labs Inc","76"
"62539","https://www.makeitfable.com","Fable","161"
"62815","http://www.interpretia.com","Interpretia","690"
"62992","www.mvbbanking.com","MVB Bank","331"
"63225","http://www.suzy.com","Suzy","307"
"63418","http://www.avisystems.com","AVI Systems","947"
"63876","www.cloudzero.com","CloudZero","86"
"64692","theapplabb.com","The app Labb","81"
"64742","tiket.com","tiket.com","1958"
"64760","osano.com","Osano","107"
"64859","www.podimetrics.com","Podimetrics","127"
"65758","www.prelim.com","Prelim","30"
"66085","cobre.co","Cobre","140"
"66302","https://www.tokenmetrics.com","Token Metrics","39"
"66454","www.taxact.com","TaxAct","421"
"66634","http://www.elenas.co","Elenas","445"
"66955","http://www.growthaccelerationpartners.com","Growth Acceleration Partners","512"
"67020","www.route4me.com","Route4Me","98"
"8171","yayus.33mail.com","33 Mail",
"67436","http://www.workfully.com","Workfully","19"
"67646","http://www.bluomega.com","Blu Omega","50"
"67800","http://www.flocknote.com","Flocknote","33"
"67851","www.beaninfosys.com","Bean Infosystems","36"
"68234","www.rebase.fi","Rebase Consulting","66"
"274411","2solar.nl","2Solar software",
"68358","pulsus.mobi","pulsus.mobi","135"
"16340","http://www.everestsystemsco.com","Everest Systems",
"69318","voyageprive.com","voyageprive.com","989"
"69480","https://www.ripio.com","MOONBIRD SRL","293"
"254686","4x400.com","4x400.com",
"27000","www.alternativeassets.com","Alt Assets, Inc.",
"27474","www.tmdc.es","TMDC",
"70065","https://www.armaninoLLP.com","Armanino LLP","12"
"70240","www.aon.de","Aon DE","579"
"144695","www.bariatricpartners.com","Bariatric Partners, Inc.",
"36888","foodhack.global","HackVentures Sàrl",
"71153","www.oowlish.com","Oowlish","106"
"71541","http://www.riveron.com","Riveron","788"
"71547","highwirepr.com","highwirepr.com","157"
"71611","www.padsplit.com","PadSplit","118"
"71857","www.mangomint.com","Mangomint","63"
"71898","http://www.interac.ca","Interac Corp.","730"
"72289","https://www.unico.io","unico IDtech","930"
"72301","gotrah.com","gotrah.com","35"
"238311","accuro.com","accuro.com",
"73445","http://www.ikeja.co.za","ikeja","144"
"73551","http://www.AXIAconsulting.net","AXIA Consulting","140"
"73970","www.dreamhaven.com","Dreamhaven","50"
"111607","www.joomag.com","Joomag","49"
"74689","http://www.machinio.com","Machinio","80"
"75147","www.monomipark.com","Monomi Park","44"
"75427","http://www.adoc-tm.com","Adoc Talent Management","36"
"43143","www.wealthplus.net","WealthPlus Inc.",
"101735","126.com","126","24"
"76111","http://www.draftwise.com","DraftWise","31"
"77593","https://www.lootrush.com","LootRush","18"
"92125","www.tovie.ai","Tovie AI",
"82336","https://www.umdasch.com","umdasch The Store Makers","367"
"82536","http://www.zeiss.com/publisher","ZEISS Group","537"
"82795","www.datasite.com","Datasite","1137"
"83258","http://www.sparkdigital.com","SparkDigital (Acquired by intive)","88"
"83500","http://www.cdmmedia.com","CDM Media","211"
"84544","www.ubertal.com","Ubertal","47"
"85155","https://techland.net/job-offers","Techland","576"
"85254","http://www.shotgun.live","Shotgun","77"
"119389","https://www.roo.vet","Roo","249"
"86390","www.tracelink.com","TraceLink","947"
"86568","https://www.futurismtechnologies.com","Futurism Technologies, INC.","584"
"86569","http://www.tmforum.org","TM Forum","318"
"86587","https://www.aquivalabs.com","Aquiva Labs","213"
"86593","http://www.devcare.com","DevCare Solutions","369"
"86602","https://www.tri-cs.com","TRI a Peloton Consulting Group company","248"
"86666","http://www.vertexcs.com","Vertex Computer Systems","376"
"86686","http://www.kipi.bi","kipi.bi","542"
"86742","http://www.roisolutions.com","ROI Solutions","80"
"86973","http://www.onearchwell.com","Archwell","471"
"86997","http://www.astrixinc.com","Astrix","620"
"87039","https://www.lexialearning.com","Lexia Learning","813"
"87129","http://www.syntax.com","Syntax","1405"
"87586","www.wellsky.com","WellSky","1594"
"88023","www.karanji.com","Karanji Infotech Pvt","133"
"88502","http://www.purpleguys.com","The Purple Guys","190"
"88529","https://www.sqdm.com","SQDM","138"
"88876","http://www.diversifiedsystems.com","Diversified Systems.com","107"
"89312","www.rxbenefits.com","RxBenefits","778"
"89364","www.sevansolutions.com","Sevan Multi-Site Solutions","421"
"89514","clearesult.com","CLEAResult","1920"
"89518","www.smarttech.com","SMART Technologies","646"
"89575","www.routeone.com","RouteOne","465"
"89599","www.erg.com","Eastern Research Group","765"
"89802","payfacto.com","PayFacto","212"
"91392","http://www.worlds.io","Worlds","56"
"91426","https://www.supplydynamics.com","Supply Dynamics","12"
