id,domain,last_scraped_at,ats,job_metadata
"298378","pmweb.com.br","2024-03-05 23:15:25.521+00","linkedin","{""jobCount"": ""16"", ""officeLocationType"": {""hybrid"": ""13"", ""remote"": ""3""}}"
"146055","skillnetinc.com","2024-03-06 10:31:20.189+00","linkedin","{""jobCount"": ""10"", ""officeLocationType"": {""remote"": ""6"", ""on-site"": ""4""}}"
"329193","siticom.online","2024-03-06 09:14:25.391+00","linkedin","{""jobCount"": ""4"", ""officeLocationType"": {""hybrid"": ""2"", ""remote"": ""1"", ""on-site"": ""1""}}"
"328076","d1systems.com","2024-03-06 09:11:51.315+00","linkedin","{""jobCount"": ""2"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""1""}}"
"313422","gst.com","2024-03-06 08:35:36.113+00","linkedin","{""jobCount"": ""24"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""17"", ""remote"": ""1"", ""on-site"": ""6""}, ""remoteOfficeLocations"": [""riverdale, md""]}"
"233192","cbtnuggets.com","2024-03-05 23:09:00.973+00","linkedin","{""jobCount"": ""4"", ""officeLocationType"": {""remote"": ""3"", ""on-site"": ""1""}}"
"162761","seranking.com","2024-03-07 20:36:19.8+00","linkedin","{""jobCount"": ""2"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""2""}, ""remoteOfficeLocations"": [""poland""]}"
"136345","endego.com","2024-03-08 16:08:02.312+00","linkedin","{""jobCount"": ""35"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""21"", ""remote"": ""3"", ""on-site"": ""11""}, ""remoteOfficeLocations"": [""katowice, śląskie, poland"", ""cracow, małopolskie, poland"", ""jelenia góra, dolnośląskie, poland""]}"
"240398","dsr-corporation.com","2024-03-05 23:08:01.885+00","linkedin","{""jobCount"": ""12"", ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""10""}}"
"255681","zeals.ai","2024-03-05 19:52:25.767+00","linkedin","{""jobCount"": ""4"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""2""}, ""remoteOfficeLocations"": [""japan"", ""tokyo, japan""]}"
"138844","mohi.to","2024-03-06 10:02:04.23+00","linkedin","{""jobCount"": ""2"", ""officeLocationType"": {""remote"": ""1"", ""on-site"": ""1""}}"
"250376","devlats.com","2024-03-05 19:20:53.351+00","linkedin","{""jobCount"": ""4"", ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""2""}}"
"331889","wpsm-karriere.de","2024-03-06 09:24:08.861+00","linkedin","{""jobCount"": ""6"", ""officeLocationType"": {""hybrid"": ""1"", ""remote"": ""3"", ""on-site"": ""2""}}"
"240534","globalti.com.br","2024-03-05 00:20:01.936+00","linkedin","{""jobCount"": ""20"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""14"", ""remote"": ""5"", ""on-site"": ""1""}, ""remoteOfficeLocations"": [""são paulo, são paulo, brazil""]}"
"235198","aquainsys.com","2024-03-06 09:03:49.254+00","linkedin","{""jobCount"": ""3"", ""officeLocations"": null, ""officeLocationType"": {""remote"": ""2"", ""on-site"": ""1""}, ""remoteOfficeLocations"": [""united states""]}"
"259867","acumatica.com","2024-03-14 10:58:34.446+00","linkedin","{""jobCount"": 47, ""officeLocations"": null, ""officeLocationType"": {""hybrid"": 5, ""remote"": 14, ""on-site"": 28}, ""remoteOfficeLocations"": [""reston, va"", ""united states"", ""montreal, quebec, canada"", ""westerville, oh"", ""kirkland, wa"", ""serbia"", ""bellevue, wa"", ""united kingdom"", ""belgrade, serbia""]}"
"160517","growwithfusion.com","2024-03-08 10:40:09.09+00","linkedin","{""jobCount"": ""30"", ""officeLocationType"": {""remote"": ""11"", ""on-site"": ""19""}}"
"290954","inclusively.com","2024-03-05 22:57:56.589+00","linkedin","{""jobCount"": ""15"", ""officeLocations"": null, ""officeLocationType"": {""hybrid"": ""3"", ""remote"": ""5"", ""on-site"": ""7""}, ""remoteOfficeLocations"": [""united states""]}"
